,dataset_name,input_size,output_size
0,3_V.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,8,15
1,3_V.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,8,15
2,3_V.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,8,15
3,3_V.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,8,15
4,3_V.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays1,8,15
5,3_V.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays7,8,15
6,3_V.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays1,8,15
7,3_V.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays7,8,15
8,3_V.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays1,8,15
9,3_V.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays7,8,15
10,3_V.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays1,8,15
11,3_V.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays7,8,15
12,3_V.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays1,8,15
13,3_V.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays7,8,15
14,3_V.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays1,8,15
15,3_V.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays7,8,15
16,3_V.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays1,8,15
17,3_V.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays7,8,15
18,3_V.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays1,8,15
19,3_V.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays7,8,15
20,3_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,8,15
21,3_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,8,15
22,3_V.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,8,15
23,3_V.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,8,15
24,3_V.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,4,7
25,3_V.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays7,4,7
26,3_V.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,4,7
27,3_V.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays7,4,7
28,3_V.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays1,8,15
29,3_V.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays7,8,15
30,3_V.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays1,8,15
31,3_V.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays7,8,15
32,3_V.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays1,8,15
33,3_V.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays7,8,15
34,3_V.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays1,8,15
35,3_V.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays7,8,15
36,3_V.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays1,6,11
37,3_V.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays7,6,11
38,3_V.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays1,6,11
39,3_V.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays7,6,11
40,3_V.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays1,6,11
41,3_V.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,6,11
42,3_V.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,6,11
43,3_V.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,6,11
44,3_V.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays1,8,15
45,3_V.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays7,8,15
46,3_V.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays1,8,15
47,3_V.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays7,8,15
48,3_V.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays1,8,15
49,3_V.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays7,8,15
50,3_V.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays1,8,15
51,3_V.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays7,8,15
52,3_V.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays1,8,15
53,3_V.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays7,8,15
54,3_V.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays1,8,15
55,3_V.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays7,8,15
56,3_V.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays1,8,15
57,3_V.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays7,8,15
58,3_V.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays1,8,15
59,3_V.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays7,8,15
