,dataset_name,input_size,output_size
0,16_E.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,90,90
1,16_E.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,90,90
2,16_E.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,90,90
3,16_E.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,90,90
4,16_E.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,15,15
5,16_E.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,15,15
6,16_E.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,15,15
7,16_E.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,15,15
8,16_E.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,76,76
9,16_E.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,76,76
10,16_E.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,76,76
11,16_E.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,76,76
12,16_E.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays1,28,28
13,16_E.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,28,28
14,16_E.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays1,28,28
15,16_E.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays7,28,28
